model_file_name,models_folder,url
seedvr2_ema_3b_fp16.safetensors,models/diffusion_models,https://huggingface.co/numz/SeedVR2_comfyUI/resolve/main/seedvr2_ema_3b_fp16.safetensors
ema_vae_fp16.safetensors,models/vae,https://huggingface.co/numz/SeedVR2_comfyUI/resolve/main/ema_vae_fp16.safetensors
rife47.pth,custom_nodes/comfyui-frame-interpolation/ckpts/rife/,https://huggingface.co/wavespeed/misc/resolve/main/rife/rife47.pth
qwen_image_distill_full_fp8_e4m3fn.safetensors,models/diffusion_models,https://huggingface.co/Comfy-Org/Qwen-Image_ComfyUI/resolve/main/non_official/diffusion_models/qwen_image_distill_full_fp8_e4m3fn.safetensors
qwen_2.5_vl_7b_fp8_scaled.safetensors,models/text_encoders,https://huggingface.co/Comfy-Org/Qwen-Image_ComfyUI/resolve/main/split_files/text_encoders/qwen_2.5_vl_7b_fp8_scaled.safetensors
qwen_image_vae.safetensors,models/vae,https://huggingface.co/Comfy-Org/Qwen-Image_ComfyUI/resolve/main/split_files/vae/qwen_image_vae.safetensors
Qwen_Image_Distill-Q8_0.gguf,models/unet,https://huggingface.co/QuantStack/Qwen-Image-Distill-GGUF/resolve/main/Qwen_Image_Distill-Q8_0.gguf
umt5_xxl_fp8_e4m3fn_scaled.safetensors,models/text_encoders,https://huggingface.co/Comfy-Org/Wan_2.1_ComfyUI_repackaged/resolve/main/split_files/text_encoders/umt5_xxl_fp8_e4m3fn_scaled.safetensors
wan_2.1_vae.safetensors,models/vae,https://huggingface.co/Comfy-Org/Wan_2.2_ComfyUI_Repackaged/resolve/main/split_files/vae/wan_2.1_vae.safetensors
wan2.2_i2v_high_noise_14B_fp8_scaled.safetensors,models/diffusion_models,https://huggingface.co/Comfy-Org/Wan_2.2_ComfyUI_Repackaged/resolve/main/split_files/diffusion_models/wan2.2_i2v_high_noise_14B_fp8_scaled.safetensors
wan2.2_i2v_low_noise_14B_fp8_scaled.safetensors,models/diffusion_models,https://huggingface.co/Comfy-Org/Wan_2.2_ComfyUI_Repackaged/resolve/main/split_files/diffusion_models/wan2.2_i2v_low_noise_14B_fp8_scaled.safetensors
wan2.2_i2v_lightx2v_4steps_lora_v1_high_noise.safetensors,models/loras,https://huggingface.co/Comfy-Org/Wan_2.2_ComfyUI_Repackaged/resolve/main/split_files/loras/wan2.2_i2v_lightx2v_4steps_lora_v1_high_noise.safetensors
wan2.2_i2v_lightx2v_4steps_lora_v1_low_noise.safetensors,models/loras,https://huggingface.co/Comfy-Org/Wan_2.2_ComfyUI_Repackaged/resolve/main/split_files/loras/wan2.2_i2v_lightx2v_4steps_lora_v1_low_noise.safetensors
ae.safetensors,models/vae,https://huggingface.co/Comfy-Org/z_image_turbo/resolve/main/split_files/vae/ae.safetensors
z_image_turbo_bf16.safetensors,models/diffusion_models,https://huggingface.co/Comfy-Org/z_image_turbo/resolve/main/split_files/diffusion_models/z_image_turbo_bf16.safetensors
qwen_3_4b.safetensors,models/text_encoders,https://huggingface.co/Comfy-Org/z_image_turbo/resolve/main/split_files/text_encoders/qwen_3_4b.safetensors
Disney_IZT_ATK_V1_000000750.safetensors,models/loras,https://civitai.com/api/download/models/404277?token=${CIVITAI_API_KEY}
Wan2.2-I2V-A14B-HighNoise-Q8_0.gguf,models/unet,https://huggingface.co/QuantStack/Wan2.2-I2V-A14B-GGUF/resolve/main/HighNoise/Wan2.2-I2V-A14B-HighNoise-Q8_0.gguf
Wan2.2-I2V-A14B-LowNoise-Q8_0.gguf,models/unet,https://huggingface.co/QuantStack/Wan2.2-I2V-A14B-GGUF/resolve/main/LowNoise/Wan2.2-I2V-A14B-LowNoise-Q8_0.gguf
Wan22_A14B_T2V_HIGH_Lightning_4steps_lora_250928_rank128_fp16.safetensors,models/loras,https://huggingface.co/Kijai/WanVideo_comfy/resolve/main/LoRAs/Wan22-Lightning/Wan22_A14B_T2V_HIGH_Lightning_4steps_lora_250928_rank128_fp16.safetensors
Wan22_A14B_T2V_LOW_Lightning_4steps_lora_250928_rank64_fp16.safetensors,models/loras,https://huggingface.co/Kijai/WanVideo_comfy/resolve/main/LoRAs/Wan22-Lightning/Wan22_A14B_T2V_LOW_Lightning_4steps_lora_250928_rank64_fp16.safetensors
umt5-xxl-encoder-Q5_K_M.gguf,models/clip,https://huggingface.co/city96/umt5-xxl-encoder-gguf/resolve/main/umt5-xxl-encoder-Q5_K_M.gguf
